user_id,name,age,circle,connection_type,tenure_months,arpu,daily_data_usage_gb,daily_call_minutes,night_usage_ratio,sms_count,preferred_plan_type,current_plan,ott_subscription,ott_usage,monthly_ott_spend,family_plan_members,international_roaming_freq,caller_tune_subscribed,responsiveness_to_offers,user_segment,is_student,last_recharge_date,last_recharge_amount,cluster
10023,Vyanjana Oak,75,Hyderabad,Prepaid,46,882,1.8086489891761282,30.598295361645924,0.5454349570924856,17,Data Pack,Vi Hero 399,Amazon Prime,0,127,1,0.13924673141814006,1,0,Night User,0,2025-08-18,698,1
10024,Lekha Borra,19,Delhi,Prepaid,49,830,1.2158176719119893,17.865911304272416,0.5004776213882839,1,Data Pack,Vi SuperHero 399,SonyLIV,1,235,2,0.0035053348902122717,0,0,OTT Subscriber,0,2025-09-08,199,1
10025,Reva Parikh,60,Pune,Prepaid,99,545,0.4282556716449324,21.629568815131655,0.4817719166101026,8,NonStop Hero,Vi Hero 999,SonyLIV,1,241,4,0.002762012648943169,0,0,OTT Subscriber,0,2025-09-12,449,0
10026,Onveer Chander,29,Bangalore,Postpaid,45,1339,3.7120965099846397,0.0,0.3372883453936939,10,Data Pack,Vi Hero 999,JioHotstar,1,154,3,0.38058175871369354,1,0,OTT Subscriber,0,2025-09-07,199,1
10027,Warda Deshpande,63,Pune,Prepaid,47,1043,0.5738171066918938,71.53254326520386,0.24057666061076877,13,Unlimited 5G,Vi Hero 499,None,0,266,2,0.09019565993517509,0,0,Data-Heavy User,0,2025-08-23,449,0
10028,Yamini Nigam,50,Hyderabad,Postpaid,71,203,0.1,0.0,0.21109166677355568,4,SuperHero,Vi NonStop Hero 698,Amazon Prime,1,167,4,0.036918636760622695,0,1,Low Value Customer,0,2025-08-29,199,0
10029,Ekbal Sharaf,37,Pune,Postpaid,60,737,0.1,68.5766912964771,0.3207522985561512,14,Data Pack,Vi Hero 399,None,0,220,3,0.639811939114694,1,2,International Roamer,0,2025-09-10,249,2
10030,Ekansh Thaker,36,Delhi,Postpaid,29,292,0.6317981420310302,31.745052124750472,0.42438735652248744,6,SuperHero,Vi SuperHero 299,Amazon Prime,1,47,3,0.05255800710276236,0,0,Low Value Customer,0,2025-09-01,698,0
10031,Eta Nadig,74,Chennai,Postpaid,32,1439,1.3698025337237842,17.839180848690987,0.35733716826026396,4,Unlimited 5G,Vi SuperHero 698,Amazon Prime,0,196,1,0.07317949571897694,1,2,Data-Heavy User,0,2025-08-30,749,1
10032,Isaac Rao,21,Pune,Postpaid,86,398,2.4754345426067523,45.74072104809031,0.18527983246575447,16,OTT Combo,Vi Hero 499,SonyLIV,1,68,4,0.03609726823031409,1,2,Student User,0,2025-09-02,999,0
10033,Pallavi Parekh,46,Kolkata,Prepaid,108,475,0.7901143333970041,68.82149439598314,0.12547807346819,20,NonStop Hero,Vi Hero 698,Amazon Prime,1,230,2,0.04821353047397472,0,2,Caller-Tune Enthusiast,0,2025-09-06,399,0
10034,Aachal Om,35,Delhi,Prepaid,30,665,4.187494040944404,26.746423640807887,0.22811413360750235,12,SuperHero,Vi Hero 399,JioHotstar,1,276,3,0.028198559588460636,0,2,High Value Customer,0,2025-09-01,698,1
10035,Yatin Thaman,21,Mumbai,Postpaid,62,1010,0.6610241062896993,29.77957384385481,0.4571760688829225,0,NonStop Hero,Vi NonStop Hero 698,SonyLIV,1,455,4,0.0766961874885524,1,2,OTT Subscriber,0,2025-08-21,399,1
10036,Leela Seshadri,49,Chennai,Prepaid,50,599,2.170931043137433,51.81353978576199,0.4956311004015554,10,Data Pack,Vi Hero 399,SonyLIV,1,223,1,0.09277708237677254,1,2,Data-Heavy User,0,2025-09-15,698,0
10037,Yash Panchal,55,Chennai,Prepaid,111,1305,3.3840387366512066,29.52459480243278,0.16874824658128587,14,SuperHero,Vi SuperHero 499,SonyLIV,1,428,2,0.09915308190737204,0,1,OTT Subscriber,0,2025-09-05,698,1
10038,Vivaan Kulkarni,35,Chennai,Prepaid,96,1013,2.0912237805604863,32.22182515329359,0.11788569498988721,17,Unlimited 5G,Vi NonStop Hero 399,JioHotstar,1,41,0,0.0012356118802734372,1,0,Occasional User,0,2025-09-09,199,1
10039,Amrita Hegde,57,Hyderabad,Prepaid,73,221,0.46672041931114694,32.441902463720794,0.06911274123572567,6,Data Pack,Vi Hero 499,Netflix,0,64,1,0.08249071150489523,0,2,Low Value Customer,0,2025-08-24,249,0
10040,Guneet Majumdar,67,Mumbai,Postpaid,74,485,2.671570951777323,0.0,0.6714328997305146,12,Data Pack,Vi Hero 399,JioHotstar,1,395,4,0.3109219413317431,0,2,OTT Subscriber,0,2025-09-08,249,1
10041,Ryan Parikh,62,Pune,Prepaid,45,767,1.9101071709325912,76.90427098039716,0.4771269606921757,17,Data Pack,Vi Hero 499,JioHotstar,0,289,4,0.2204090102347084,0,0,Caller-Tune Enthusiast,0,2025-08-19,698,0
10042,Radha Shetty,70,Kolkata,Postpaid,91,1153,3.6977505190252242,28.15972210520234,0.41687143161132023,4,Data Pack,Vi SuperHero 999,Netflix,0,221,4,0.3,1,2,International Roamer,0,2025-08-22,749,1
10043,Harish Lalla,47,Pune,Prepaid,107,1042,0.7807499724554726,30.13109249295458,0.3004976579808261,2,NonStop Hero,Vi NonStop Hero 399,SonyLIV,1,165,4,0.1449145985411142,0,1,Occasional User,0,2025-09-05,199,1
10044,Balvan Basak,49,Delhi,Postpaid,103,815,2.7725361769325616,68.53427492295457,0.16700043401978162,8,NonStop Hero,Vi NonStop Hero 999,Netflix,0,249,4,0.06712688224421128,0,0,Data-Heavy User,0,2025-09-13,399,1
10045,Baljiwan Purohit,64,Delhi,Postpaid,83,982,2.883894223714147,23.775896288023162,0.2731701743745513,15,Data Pack,Vi SuperHero 299,Netflix,1,487,1,0.001155889011177254,0,0,OTT Subscriber,0,2025-09-06,499,1
10046,Janaki Raj,48,Hyderabad,Postpaid,46,1283,0.1,66.10846979954528,0.7661401114127864,14,NonStop Hero,Vi NonStop Hero 499,Amazon Prime,1,217,0,0.0372590307589386,1,1,Night User,0,2025-09-12,999,1
10047,Nisha Agrawal,66,Hyderabad,Postpaid,36,529,0.1,28.61130752758453,0.325020680836681,18,OTT Combo,Vi Hero 499,JioHotstar,0,110,1,0.02468242048285467,0,1,Data-Heavy User,0,2025-09-10,449,0
10048,Hema Bath,18,Bangalore,Postpaid,90,409,0.37214425640717375,48.68420079029504,0.31675900374703353,4,Data Pack,Vi SuperHero 299,None,1,126,2,0.016083980451926518,0,1,OTT Subscriber,1,2025-09-05,299,0
10049,Avni Chander,21,Chennai,Prepaid,74,1128,1.3715635680545306,4.118941939515647,0.29332239696104223,20,Unlimited 5G,Vi SuperHero 399,None,1,304,2,0.17354840953831668,0,0,OTT Subscriber,0,2025-09-12,999,1
10050,Anya Gole,66,Chennai,Postpaid,39,197,0.993490314050385,51.28385661501275,0.21465304840036645,18,Data Pack,Vi NonStop Hero 999,None,0,267,0,0.10762653379785779,0,2,Low Value Customer,0,2025-09-12,399,0
10051,Mugdha Desai,58,Delhi,Prepaid,71,140,0.44392846323187735,44.41392407639416,0.42309482477668825,2,SuperHero,Vi SuperHero 698,SonyLIV,1,41,4,0.027241898269280033,0,0,Low Value Customer,0,2025-09-08,449,0
10052,Radhika Krishna,63,Delhi,Postpaid,101,275,0.9569372231808971,3.46843417633524,0.09287965119793448,20,OTT Combo,Vi Hero 399,SonyLIV,1,36,0,0.007122997141482284,0,2,Low Value Customer,0,2025-09-11,449,0
10053,Kamala Upadhyay,70,Pune,Postpaid,77,142,0.3915731481719068,4.068846141838591,0.14604828888713295,18,NonStop Hero,Vi NonStop Hero 299,SonyLIV,0,30,2,0.4122352914819595,0,1,Low Value Customer,0,2025-08-30,999,2
10054,Maanav Amble,49,Chennai,Postpaid,78,1046,1.21380795913913,18.54725242921559,0.21909800892644943,8,Unlimited 5G,Vi SuperHero 399,None,0,20,4,0.011448807778951771,1,2,Caller-Tune Enthusiast,0,2025-08-20,449,1
10055,Caleb Anne,54,Bangalore,Postpaid,118,232,1.8245481909358066,28.744047263771577,0.5044889510402897,8,SuperHero,Vi Hero 698,SonyLIV,0,240,0,0.02569677009699319,0,1,Night User,0,2025-09-05,499,0
10056,Ubika Rajagopalan,60,Hyderabad,Postpaid,37,205,0.4079850802034548,70.49030388593278,0.49825435083613734,12,OTT Combo,Vi SuperHero 698,JioHotstar,0,168,2,0.07856161422903765,0,0,Low Value Customer,0,2025-08-22,698,0
10057,Bahadurjit Agrawal,73,Chennai,Prepaid,25,1446,2.134662195715277,0.0,0.38682544202210284,16,NonStop Hero,Vi Hero 698,SonyLIV,0,277,0,0.010861999667475246,0,2,High Value Customer,0,2025-09-11,449,1
10058,Gautami Pradhan,46,Hyderabad,Prepaid,91,1142,2.8275949257941315,49.29095373253341,0.06872835780925292,5,NonStop Hero,Vi Hero 299,None,0,14,3,0.1482186786383188,0,0,Weekend Data User,0,2025-09-01,249,1
10059,Panini Natarajan,59,Bangalore,Postpaid,54,465,1.6072727029747793,32.164744686822495,0.2503592182409289,15,Data Pack,Vi SuperHero 698,None,1,149,1,0.017515413818568314,0,2,Family Plan User,0,2025-08-30,299,0
10060,Peter Venkataraman,73,Pune,Postpaid,106,187,0.1,55.87302317701497,0.34426518877998213,0,NonStop Hero,Vi Hero 499,None,1,212,4,0.024462656480829795,1,1,Low Value Customer,0,2025-08-19,299,0
10061,Waida Sabharwal,46,Kolkata,Postpaid,59,1253,1.5192641023727171,24.02053334924578,0.3638627686696124,10,SuperHero,Vi Hero 399,None,1,176,3,0.07454374021009831,0,1,Weekend Data User,0,2025-09-14,499,1
10062,Isha Boase,65,Hyderabad,Prepaid,64,1118,1.906195688993297,19.617802152479968,0.18591584017139418,1,SuperHero,Vi Hero 999,Netflix,1,197,0,0.029051827948244572,1,1,Family Plan User,0,2025-09-12,999,1
10063,Jeremiah Gole,47,Pune,Prepaid,10,181,0.47269940890935946,67.74428281149059,0.2352612099147755,15,NonStop Hero,Vi NonStop Hero 999,SonyLIV,0,209,0,0.5111413479847776,1,2,International Roamer,0,2025-08-19,999,2
10064,Sachi Sule,42,Bangalore,Prepaid,31,573,3.255891305371295,48.92471541613379,0.08114895250637362,20,NonStop Hero,Vi SuperHero 299,SonyLIV,1,277,0,0.03124038560119816,1,2,High Value Customer,0,2025-08-19,249,1
10065,Arya Kant,46,Kolkata,Prepaid,38,490,2.5026784780198845,7.728916438723058,0.43832440071116074,11,NonStop Hero,Vi NonStop Hero 399,Amazon Prime,1,122,4,0.1704326266175606,0,2,OTT Subscriber,0,2025-08-21,299,1
10066,Ishani Ramanathan,28,Bangalore,Prepaid,64,508,2.3709199486784303,35.42152592457346,0.18691279471314406,18,SuperHero,Vi SuperHero 698,Netflix,0,195,3,0.15829973301550432,0,0,Data-Heavy User,0,2025-08-18,749,0
10067,Abhimanyu Sengupta,75,Kolkata,Postpaid,82,739,0.3124742156897029,26.855326997508797,0.18926525270317185,13,NonStop Hero,Vi NonStop Hero 499,Amazon Prime,1,325,3,0.056255965760351315,1,0,OTT Subscriber,0,2025-09-08,698,0
10068,Aryan Gara,54,Pune,Postpaid,36,105,0.1,24.253010713840332,0.3967311663766168,0,OTT Combo,Vi Hero 299,None,1,151,3,0.009493721257361804,1,1,Low Value Customer,0,2025-08-22,399,0
10069,Bhavya Dey,56,Kolkata,Prepaid,81,871,1.4348461601786253,24.22663674478305,0.4946306767166579,3,Unlimited 5G,Vi NonStop Hero 698,JioHotstar,1,416,4,0.04500318213036791,0,0,OTT Subscriber,0,2025-09-13,449,1
10070,Mohini Sahni,38,Delhi,Postpaid,68,1000,1.5008389410686096,33.956399523834186,0.1577767414075877,16,NonStop Hero,Vi SuperHero 499,SonyLIV,0,102,2,0.011315267647020113,1,1,Caller-Tune Enthusiast,0,2025-08-21,249,1
10071,Gautami Kota,47,Pune,Postpaid,109,304,0.17147465447997434,23.625569564478617,0.7530160636068001,17,NonStop Hero,Vi SuperHero 698,JioHotstar,0,115,2,0.030890808963160724,0,1,Family Plan User,0,2025-09-04,449,0
10072,Ekanta Bajwa,55,Hyderabad,Prepaid,61,930,1.320146439885046,43.19411902329152,0.5602113740949868,0,OTT Combo,Vi Hero 499,None,1,55,1,0.11817961872040751,0,2,Family Plan User,0,2025-08-20,749,1
10073,Vanya Sundaram,62,Delhi,Prepaid,5,768,1.5359803614325893,48.04180160108088,0.1082362342055108,9,Data Pack,Vi SuperHero 299,Amazon Prime,1,59,4,0.028519339494313685,0,1,Data-Heavy User,0,2025-09-04,999,0
10074,Matthew Patla,44,Hyderabad,Prepaid,107,1352,2.476636689748326,6.489655635802443,0.2752930425689987,15,OTT Combo,Vi NonStop Hero 499,JioHotstar,0,212,2,0.06090856308714071,0,1,Family Plan User,0,2025-09-08,499,1
10075,Shivansh Konda,24,Chennai,Postpaid,25,902,3.6176243211152626,30.0,0.2962796070944025,3,Data Pack,Vi SuperHero 399,None,1,31,0,0.19101555300821826,0,1,Business User,1,2025-09-08,299,1
10076,Vihaan Chahal,68,Bangalore,Prepaid,76,295,0.37455708979721847,29.226043734085668,0.13379863410892226,6,SuperHero,Vi NonStop Hero 399,None,0,35,0,0.11328069519218541,0,0,Low Value Customer,0,2025-09-11,999,0
10077,Yashvi Hayre,34,Mumbai,Postpaid,102,507,1.5221207196784718,38.68954263404178,0.2504805636294226,7,OTT Combo,Vi NonStop Hero 299,Amazon Prime,1,166,2,0.07250006952631431,0,2,OTT Subscriber,0,2025-09-02,999,0
10078,Jagvi Babu,25,Pune,Postpaid,66,280,0.1,18.271306995126636,0.3179578495725549,18,Unlimited 5G,Vi NonStop Hero 999,Amazon Prime,1,229,4,0.014554805723157139,0,2,Data-Heavy User,0,2025-08-30,449,0
10079,Banjeet Rana,47,Pune,Postpaid,55,1467,0.1,0.0,0.1722908438949338,3,Data Pack,Vi Hero 698,JioHotstar,1,344,0,0.10488579360358462,0,0,OTT Subscriber,0,2025-09-13,299,1
10080,Harinakshi Sani,35,Bangalore,Postpaid,59,1428,0.1,63.53279799250337,0.20891819493024888,16,OTT Combo,Vi NonStop Hero 299,JioHotstar,1,195,4,0.06078721150993934,1,0,Weekend Data User,0,2025-09-02,749,1
10081,Gagan Bakshi,74,Chennai,Postpaid,94,617,0.8092346085146713,33.050245366134035,0.6312213178472728,3,NonStop Hero,Vi NonStop Hero 499,Netflix,1,331,2,0.0081057757007788,1,2,OTT Subscriber,0,2025-08-17,749,0
10082,Jalsa Jhaveri,22,Mumbai,Postpaid,104,324,3.624960762762612,58.511331417999074,0.16296742027565927,4,OTT Combo,Vi SuperHero 999,None,0,221,4,0.4241344195101356,0,0,Business User,0,2025-09-02,499,2
10083,Faris Misra,73,Bangalore,Postpaid,46,1016,1.7132412011199045,0.0,0.26526006970231497,3,OTT Combo,Vi Hero 399,Amazon Prime,0,147,3,0.16679466342802501,0,0,Data-Heavy User,0,2025-09-04,999,1
10084,Vihaan Bal,41,Delhi,Postpaid,109,385,0.1,50.46211836596349,0.4060763173170916,17,OTT Combo,Vi Hero 999,JioHotstar,1,293,4,0.17809032134494165,1,2,Occasional User,0,2025-09-07,199,0
10085,Chameli Bobal,29,Kolkata,Prepaid,24,709,1.5339820513565534,30.74390348739363,0.46757480171249854,4,OTT Combo,Vi Hero 698,JioHotstar,1,173,1,0.012233222733906196,1,0,Family Plan User,0,2025-09-13,999,0
10086,Imaran Anne,31,Kolkata,Prepaid,48,920,0.9255016540038272,61.645679785508484,0.1777841173183782,9,NonStop Hero,Vi Hero 999,JioHotstar,1,232,0,0.5130960750130702,0,2,Business User,0,2025-09-14,249,2
10087,Chasmum Vig,35,Bangalore,Postpaid,54,1057,0.8792538598795534,65.2336860046395,0.6320829542143932,8,SuperHero,Vi Hero 299,Netflix,1,248,3,0.03381102926104199,0,2,Data-Heavy User,0,2025-08-25,749,1
10088,Dayamai Bhatt,51,Bangalore,Prepaid,1,781,0.8725679674160781,22.490987797784285,0.22734324398377198,6,NonStop Hero,Vi SuperHero 399,Netflix,1,301,2,0.37066250336624174,0,0,OTT Subscriber,0,2025-08-31,698,2
10089,Rajeshri Yogi,29,Hyderabad,Prepaid,65,414,3.360600591376892,69.84902528016298,0.43794334939116214,17,NonStop Hero,Vi SuperHero 698,JioHotstar,1,272,3,0.1,0,0,Business User,0,2025-08-19,499,1
10090,Timothy Deshmukh,54,Kolkata,Prepaid,52,1029,1.5887555568882816,17.061658727294397,0.22740657243944393,0,NonStop Hero,Vi SuperHero 999,SonyLIV,1,213,2,0.13446066098189016,0,0,Occasional User,0,2025-09-08,698,1
10091,Nandini Sodhi,55,Pune,Postpaid,96,970,3.2046050975878257,15.731342656263093,0.1228025974592681,10,SuperHero,Vi NonStop Hero 399,JioHotstar,0,202,4,0.047852845469168744,0,2,Family Plan User,0,2025-08-30,399,1
10092,Vasana Lall,75,Delhi,Prepaid,19,865,3.655053207714626,32.41361543970946,0.3234619675036855,8,SuperHero,Vi SuperHero 999,Amazon Prime,1,75,0,0.15381399201161616,0,2,Business User,0,2025-08-31,749,1
10093,Indira Sawhney,66,Hyderabad,Postpaid,111,264,0.8132482631207216,74.8639465879447,0.17338106247793358,20,NonStop Hero,Vi SuperHero 698,JioHotstar,1,289,3,0.09839929294348763,0,1,Low Value Customer,0,2025-08-21,449,0
10094,Dayamai Gulati,55,Mumbai,Postpaid,60,265,0.1,41.56371381618851,0.271417387994333,14,Unlimited 5G,Vi SuperHero 499,Netflix,1,259,0,0.7714891863434812,0,0,International Roamer,0,2025-08-27,999,2
10095,Amara Date,42,Pune,Prepaid,42,1097,3.1585907892450322,46.21774718974106,0.22633858176869118,19,Data Pack,Vi Hero 399,JioHotstar,0,230,3,0.1486548953077464,0,1,Family Plan User,0,2025-08-24,249,1
10096,Rachita Ramanathan,50,Delhi,Postpaid,57,1473,3.0341422351287584,50.443817396901245,0.06573821182308762,16,OTT Combo,Vi Hero 399,Netflix,0,20,2,0.010698374206612845,1,1,Data-Heavy User,0,2025-09-02,499,1
10097,Amol Sankaran,61,Mumbai,Postpaid,13,1374,3.3929439357161693,60.22454860266164,0.09867255392481528,17,Data Pack,Vi NonStop Hero 499,None,0,171,1,0.006735186196351883,0,2,Data-Heavy User,0,2025-08-25,299,1
10098,Vasatika Bansal,40,Hyderabad,Prepaid,40,785,2.9340559547098106,0.0,0.1588387717025613,17,Data Pack,Vi Hero 499,Amazon Prime,1,403,4,0.02476517326011726,0,2,OTT Subscriber,0,2025-09-02,999,1
10099,Lakshit Jain,41,Delhi,Prepaid,44,187,1.4210996867124146,0.0,0.7487601427542397,15,SuperHero,Vi SuperHero 399,Amazon Prime,1,158,0,0.2151783516391641,0,0,Night User,0,2025-08-30,999,0
10100,Bhanumati Sodhi,71,Bangalore,Prepaid,77,296,0.7693665616281025,0.0,0.4218029352538152,12,SuperHero,Vi SuperHero 399,None,0,172,1,0.1349784288143038,1,0,Low Value Customer,0,2025-09-02,499,0
10101,Aahana Sodhi,61,Hyderabad,Postpaid,30,292,0.6028176039133113,12.228201739718973,0.27790150217811804,17,SuperHero,Vi NonStop Hero 698,Amazon Prime,1,145,2,0.18806767005640102,0,2,Low Value Customer,0,2025-09-01,749,0
10102,Devika Basu,67,Bangalore,Postpaid,21,727,2.048103862984541,44.2441820058051,0.443008301290188,6,OTT Combo,Vi SuperHero 499,JioHotstar,1,257,3,0.08219020022976342,1,2,Weekend Data User,0,2025-08-17,249,1
10103,Arjun Pant,63,Pune,Prepaid,35,121,0.6694103187608468,28.75583725877288,0.4062400062037195,14,OTT Combo,Vi SuperHero 698,JioHotstar,0,145,1,0.01189018519754107,1,1,Low Value Customer,0,2025-08-17,199,0
10104,Lakshit Iyer,44,Kolkata,Prepaid,50,259,0.9645798801422644,0.0,0.500774085833298,2,NonStop Hero,Vi SuperHero 299,Netflix,1,257,0,0.22031390273207627,1,2,Data-Heavy User,0,2025-09-05,299,0
10105,Tanish Kaur,26,Pune,Prepaid,98,278,0.19951399703152534,90.0506570458864,0.2802729660158338,15,Data Pack,Vi Hero 299,JioHotstar,1,241,0,0.009344090822158885,0,0,Low Value Customer,0,2025-08-29,999,0
10106,Balvan Ravel,45,Kolkata,Prepaid,7,377,1.1626796485368542,74.94216317123806,0.41759224263795186,7,Data Pack,Vi Hero 999,SonyLIV,1,121,0,0.12803498785123824,0,1,Data-Heavy User,0,2025-08-27,999,0
10107,Saksham Bala,19,Kolkata,Postpaid,1,1327,3.6743761489618456,38.948143217294216,0.8900290941997664,19,NonStop Hero,Vi SuperHero 999,SonyLIV,0,73,1,0.008259246214940074,0,0,Night User,0,2025-08-30,499,1
10108,Madhavi Kaul,22,Pune,Postpaid,6,1264,3.9903130471503183,12.770304547760805,0.497787642697174,20,Data Pack,Vi NonStop Hero 499,JioHotstar,0,199,2,0.01957712726167354,1,1,Family Plan User,1,2025-09-08,249,1
10109,Charvi Thaman,67,Mumbai,Postpaid,70,1341,2.0089991356823,4.210593828246051,0.18859293905454477,10,SuperHero,Vi Hero 698,SonyLIV,1,68,1,0.025820663211892685,1,0,Data-Heavy User,0,2025-08-24,749,1
10110,Arya Verma,20,Kolkata,Postpaid,66,239,1.6440375920619135,17.443607095146906,0.3211554971633768,12,OTT Combo,Vi NonStop Hero 499,JioHotstar,0,21,1,0.2023432842230591,0,0,Data-Heavy User,0,2025-08-19,499,0
10111,Balvan Thakkar,35,Hyderabad,Postpaid,115,202,0.7650979812460017,0.0,0.21249843868649865,12,NonStop Hero,Vi SuperHero 698,SonyLIV,1,223,2,0.18443446545570444,1,2,Low Value Customer,0,2025-09-07,249,0
10112,Tanish Banerjee,64,Pune,Prepaid,70,1019,2.4605978901191667,34.4818651106671,0.5005327441523382,9,NonStop Hero,Vi SuperHero 299,Netflix,1,407,2,0.10513690014857877,0,2,OTT Subscriber,0,2025-08-24,698,1
